"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","massachusetts",2010,478034,0.727,0.613,0.154
"    20 to 24 years","massachusetts",2011,475603,0.731,0.628,0.139
"    20 to 24 years","massachusetts",2012,472208,0.735,0.641,0.126
"    20 to 24 years","massachusetts",2013,487124,0.755,0.66,0.124
"    20 to 24 years","massachusetts",2014,492335,0.762,0.682,0.103
"    20 to 24 years","massachusetts",2015,494624,0.751,0.675,0.1
"    20 to 24 years","massachusetts",2016,495825,0.761,0.689,0.093
"    20 to 24 years","massachusetts",2017,490134,0.742,0.684,0.074
"        20 to 24 years","massachusetts",2018,492981,0.736,0.671,0.086
"        20 to 24 years","massachusetts",2019,484340,0.756,0.708,0.062
