"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","michigan",2010,666732,0.759,0.596,0.214
"    20 to 24 years","michigan",2011,696275,0.745,0.606,0.186
"    20 to 24 years","michigan",2012,708971,0.754,0.622,0.174
"    20 to 24 years","michigan",2013,723141,0.765,0.64,0.162
"    20 to 24 years","michigan",2014,729473,0.766,0.66,0.138
"    20 to 24 years","michigan",2015,712398,0.775,0.68,0.121
"    20 to 24 years","michigan",2016,705442,0.766,0.682,0.109
"    20 to 24 years","michigan",2017,695118,0.781,0.706,0.096
"        20 to 24 years","michigan",2018,690292,0.778,0.704,0.095
"        20 to 24 years","michigan",2019,674774,0.79,0.724,0.082
