"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","minnesota",2010,351840,0.808,0.702,0.13
"    20 to 24 years","minnesota",2011,353625,0.803,0.71,0.115
"    20 to 24 years","minnesota",2012,353709,0.82,0.736,0.102
"    20 to 24 years","minnesota",2013,361781,0.829,0.753,0.091
"    20 to 24 years","minnesota",2014,359628,0.83,0.763,0.081
"    20 to 24 years","minnesota",2015,362856,0.853,0.788,0.077
"    20 to 24 years","minnesota",2016,365055,0.84,0.791,0.057
"    20 to 24 years","minnesota",2017,353013,0.849,0.804,0.052
"        20 to 24 years","minnesota",2018,359550,0.83,0.779,0.06
"        20 to 24 years","minnesota",2019,345374,0.849,0.802,0.054
