"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","mississippi",2010,216727,0.665,0.493,0.242
"    20 to 24 years","mississippi",2011,209859,0.654,0.474,0.254
"    20 to 24 years","mississippi",2012,223093,0.705,0.537,0.219
"    20 to 24 years","mississippi",2013,222674,0.668,0.524,0.203
"    20 to 24 years","mississippi",2014,208962,0.679,0.534,0.193
"    20 to 24 years","mississippi",2015,214356,0.702,0.571,0.167
"    20 to 24 years","mississippi",2016,211322,0.685,0.573,0.143
"    20 to 24 years","mississippi",2017,208410,0.657,0.551,0.142
"        20 to 24 years","mississippi",2018,204679,0.666,0.56,0.134
"        20 to 24 years","mississippi",2019,200789,0.676,0.572,0.134
