"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","missouri",2010,417694,0.759,0.628,0.158
"    20 to 24 years","missouri",2011,414861,0.77,0.642,0.153
"    20 to 24 years","missouri",2012,422289,0.771,0.656,0.131
"    20 to 24 years","missouri",2013,434036,0.776,0.671,0.118
"    20 to 24 years","missouri",2014,430837,0.773,0.669,0.118
"    20 to 24 years","missouri",2015,424100,0.784,0.696,0.09
"    20 to 24 years","missouri",2016,406458,0.775,0.705,0.079
"    20 to 24 years","missouri",2017,407647,0.782,0.709,0.079
"        20 to 24 years","missouri",2018,406398,0.763,0.698,0.074
"        20 to 24 years","missouri",2019,394992,0.773,0.71,0.067
