"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","montana",2010,65469,0.761,0.644,0.131
"    20 to 24 years","montana",2011,71919,0.778,0.646,0.148
"    20 to 24 years","montana",2012,71712,0.789,0.68,0.12
"    20 to 24 years","montana",2013,72458,0.746,0.642,0.115
"    20 to 24 years","montana",2014,74603,0.769,0.679,0.096
"    20 to 24 years","montana",2015,71353,0.757,0.671,0.088
"    20 to 24 years","montana",2016,73927,0.833,0.758,0.07
"    20 to 24 years","montana",2017,70889,0.801,0.745,0.054
"        20 to 24 years","montana",2018,67822,0.808,0.746,0.059
"        20 to 24 years","montana",2019,68359,0.783,0.712,0.069
