"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","nebraska",2010,131187,0.832,0.725,0.118
"    20 to 24 years","nebraska",2011,129273,0.83,0.734,0.106
"    20 to 24 years","nebraska",2012,132426,0.831,0.753,0.085
"    20 to 24 years","nebraska",2013,133457,0.823,0.748,0.084
"    20 to 24 years","nebraska",2014,133908,0.842,0.774,0.073
"    20 to 24 years","nebraska",2015,139179,0.819,0.765,0.052
"    20 to 24 years","nebraska",2016,135197,0.816,0.753,0.068
"    20 to 24 years","nebraska",2017,133193,0.827,0.777,0.056
"        20 to 24 years","nebraska",2018,132433,0.818,0.776,0.044
"        20 to 24 years","nebraska",2019,132718,0.85,0.781,0.066
