"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","nevada",2010,177361,0.769,0.607,0.189
"    20 to 24 years","nevada",2011,182659,0.768,0.626,0.171
"    20 to 24 years","nevada",2012,188131,0.785,0.644,0.167
"    20 to 24 years","nevada",2013,188071,0.777,0.627,0.184
"    20 to 24 years","nevada",2014,189574,0.782,0.67,0.131
"    20 to 24 years","nevada",2015,189057,0.801,0.704,0.108
"    20 to 24 years","nevada",2016,185665,0.785,0.694,0.103
"    20 to 24 years","nevada",2017,185336,0.788,0.708,0.094
"        20 to 24 years","nevada",2018,180376,0.802,0.725,0.082
"        20 to 24 years","nevada",2019,182851,0.8,0.727,0.079
