"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","new hampshire",2010,84430,0.801,0.7,0.124
"    20 to 24 years","new hampshire",2011,85693,0.765,0.671,0.117
"    20 to 24 years","new hampshire",2012,85016,0.775,0.682,0.119
"    20 to 24 years","new hampshire",2013,88224,0.781,0.684,0.119
"    20 to 24 years","new hampshire",2014,87358,0.832,0.765,0.076
"    20 to 24 years","new hampshire",2015,88639,0.819,0.754,0.078
"    20 to 24 years","new hampshire",2016,88635,0.829,0.765,0.067
"    20 to 24 years","new hampshire",2017,88990,0.837,0.767,0.07
"        20 to 24 years","new hampshire",2018,85214,0.81,0.739,0.082
"        20 to 24 years","new hampshire",2019,84664,0.813,0.765,0.053
