"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","new jersey",2010,541810,0.726,0.598,0.173
"    20 to 24 years","new jersey",2011,546348,0.715,0.582,0.184
"    20 to 24 years","new jersey",2012,559587,0.708,0.583,0.172
"    20 to 24 years","new jersey",2013,566386,0.723,0.613,0.15
"    20 to 24 years","new jersey",2014,576442,0.723,0.62,0.137
"    20 to 24 years","new jersey",2015,570704,0.705,0.606,0.136
"    20 to 24 years","new jersey",2016,570520,0.724,0.635,0.118
"    20 to 24 years","new jersey",2017,567060,0.728,0.653,0.1
"        20 to 24 years","new jersey",2018,554274,0.704,0.625,0.105
"        20 to 24 years","new jersey",2019,536034,0.741,0.664,0.097
