"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","new mexico",2010,143248,0.691,0.568,0.157
"    20 to 24 years","new mexico",2011,148793,0.704,0.556,0.182
"    20 to 24 years","new mexico",2012,143553,0.731,0.591,0.173
"    20 to 24 years","new mexico",2013,151970,0.723,0.594,0.161
"    20 to 24 years","new mexico",2014,151185,0.746,0.632,0.128
"    20 to 24 years","new mexico",2015,150689,0.731,0.616,0.134
"    20 to 24 years","new mexico",2016,140855,0.741,0.622,0.135
"    20 to 24 years","new mexico",2017,144103,0.733,0.647,0.095
"        20 to 24 years","new mexico",2018,138863,0.695,0.607,0.095
"        20 to 24 years","new mexico",2019,137719,0.739,0.664,0.063
