"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","new york",2010,1414236,0.668,0.549,0.171
"    20 to 24 years","new york",2011,1424103,0.67,0.55,0.171
"    20 to 24 years","new york",2012,1439083,0.673,0.557,0.164
"    20 to 24 years","new york",2013,1441126,0.679,0.567,0.158
"    20 to 24 years","new york",2014,1440088,0.683,0.583,0.14
"    20 to 24 years","new york",2015,1415343,0.681,0.591,0.126
"    20 to 24 years","new york",2016,1386278,0.689,0.605,0.115
"    20 to 24 years","new york",2017,1352104,0.688,0.607,0.11
"        20 to 24 years","new york",2018,1294057,0.696,0.621,0.101
"        20 to 24 years","new york",2019,1265348,0.706,0.637,0.088
