"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","north carolina",2010,661893,0.743,0.564,0.187
"    20 to 24 years","north carolina",2011,676834,0.738,0.556,0.199
"    20 to 24 years","north carolina",2012,690477,0.73,0.553,0.196
"    20 to 24 years","north carolina",2013,717985,0.757,0.592,0.168
"    20 to 24 years","north carolina",2014,704598,0.744,0.59,0.157
"    20 to 24 years","north carolina",2015,705943,0.744,0.62,0.123
"    20 to 24 years","north carolina",2016,684686,0.746,0.629,0.109
"    20 to 24 years","north carolina",2017,690990,0.748,0.623,0.105
"        20 to 24 years","north carolina",2018,682328,0.745,0.625,0.097
"        20 to 24 years","north carolina",2019,689128,0.757,0.637,0.087
