"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","north dakota",2010,59516,0.828,0.745,0.071
"    20 to 24 years","north dakota",2011,62413,0.79,0.703,0.057
"    20 to 24 years","north dakota",2012,62971,0.842,0.758,0.061
"    20 to 24 years","north dakota",2013,71296,0.817,0.755,0.038
"    20 to 24 years","north dakota",2014,68336,0.813,0.738,0.05
"    20 to 24 years","north dakota",2015,69970,0.824,0.761,0.024
"    20 to 24 years","north dakota",2016,64670,0.84,0.754,0.046
"    20 to 24 years","north dakota",2017,63713,0.857,0.788,0.033
"        20 to 24 years","north dakota",2018,62590,0.825,0.746,0.048
"        20 to 24 years","north dakota",2019,60819,0.847,0.763,0.052
