"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","ohio",2010,760950,0.759,0.618,0.18
"    20 to 24 years","ohio",2011,774362,0.764,0.639,0.162
"    20 to 24 years","ohio",2012,788138,0.76,0.643,0.152
"    20 to 24 years","ohio",2013,794615,0.768,0.665,0.132
"    20 to 24 years","ohio",2014,783118,0.778,0.679,0.125
"    20 to 24 years","ohio",2015,775259,0.779,0.688,0.115
"    20 to 24 years","ohio",2016,777289,0.775,0.697,0.098
"    20 to 24 years","ohio",2017,757438,0.781,0.715,0.082
"        20 to 24 years","ohio",2018,752641,0.796,0.731,0.079
"        20 to 24 years","ohio",2019,743776,0.786,0.725,0.074
