"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","oklahoma",2010,267458,0.75,0.632,0.13
"    20 to 24 years","oklahoma",2011,273573,0.759,0.646,0.124
"    20 to 24 years","oklahoma",2012,280705,0.751,0.645,0.115
"    20 to 24 years","oklahoma",2013,283455,0.737,0.631,0.12
"    20 to 24 years","oklahoma",2014,283791,0.741,0.654,0.099
"    20 to 24 years","oklahoma",2015,280592,0.748,0.665,0.088
"    20 to 24 years","oklahoma",2016,279889,0.733,0.634,0.113
"    20 to 24 years","oklahoma",2017,269495,0.73,0.659,0.076
"        20 to 24 years","oklahoma",2018,266367,0.752,0.672,0.077
"        20 to 24 years","oklahoma",2019,270073,0.747,0.673,0.071
