"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","oregon",2010,255357,0.755,0.629,0.165
"    20 to 24 years","oregon",2011,262510,0.728,0.587,0.192
"    20 to 24 years","oregon",2012,266293,0.741,0.609,0.177
"    20 to 24 years","oregon",2013,264136,0.743,0.621,0.164
"    20 to 24 years","oregon",2014,265779,0.75,0.658,0.121
"    20 to 24 years","oregon",2015,264699,0.763,0.682,0.106
"    20 to 24 years","oregon",2016,265531,0.765,0.684,0.103
"    20 to 24 years","oregon",2017,263246,0.783,0.71,0.09
"        20 to 24 years","oregon",2018,264987,0.785,0.718,0.083
"        20 to 24 years","oregon",2019,266146,0.776,0.694,0.092
