"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","pennsylvania",2010,876291,0.714,0.602,0.155
"    20 to 24 years","pennsylvania",2011,879496,0.713,0.594,0.166
"    20 to 24 years","pennsylvania",2012,889550,0.718,0.603,0.158
"    20 to 24 years","pennsylvania",2013,876511,0.728,0.62,0.148
"    20 to 24 years","pennsylvania",2014,865761,0.728,0.629,0.135
"    20 to 24 years","pennsylvania",2015,850127,0.728,0.645,0.113
"    20 to 24 years","pennsylvania",2016,830820,0.729,0.646,0.112
"    20 to 24 years","pennsylvania",2017,827206,0.74,0.665,0.1
"        20 to 24 years","pennsylvania",2018,812406,0.738,0.67,0.09
"        20 to 24 years","pennsylvania",2019,796554,0.75,0.684,0.087
