"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","puerto rico",2010,264790,0.518,0.344,0.335
"    20 to 24 years","puerto rico",2011,268487,0.506,0.326,0.355
"    20 to 24 years","puerto rico",2012,268787,0.515,0.33,0.359
"    20 to 24 years","puerto rico",2013,269135,0.507,0.348,0.313
"    20 to 24 years","puerto rico",2014,268097,0.514,0.333,0.352
"    20 to 24 years","puerto rico",2015,253642,0.534,0.338,0.367
"    20 to 24 years","puerto rico",2016,244392,0.508,0.344,0.321
"    20 to 24 years","puerto rico",2017,236911,0.487,0.319,0.345
"        20 to 24 years","puerto rico",2018,222760,0.52,0.363,0.302
"        20 to 24 years","puerto rico",2019,224534,0.557,0.376,0.324
