"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","rhode island",2010,81367,0.755,0.616,0.174
"    20 to 24 years","rhode island",2011,82339,0.744,0.627,0.15
"    20 to 24 years","rhode island",2012,84403,0.764,0.675,0.113
"    20 to 24 years","rhode island",2013,83365,0.768,0.646,0.152
"    20 to 24 years","rhode island",2014,81938,0.718,0.64,0.105
"    20 to 24 years","rhode island",2015,78938,0.749,0.666,0.107
"    20 to 24 years","rhode island",2016,78374,0.745,0.652,0.113
"    20 to 24 years","rhode island",2017,78451,0.743,0.664,0.09
"        20 to 24 years","rhode island",2018,75521,0.768,0.687,0.088
"        20 to 24 years","rhode island",2019,74167,0.746,0.661,0.103
