"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","south carolina",2010,331599,0.737,0.558,0.207
"    20 to 24 years","south carolina",2011,338785,0.73,0.561,0.194
"    20 to 24 years","south carolina",2012,346503,0.738,0.575,0.189
"    20 to 24 years","south carolina",2013,350692,0.734,0.593,0.172
"    20 to 24 years","south carolina",2014,347621,0.75,0.609,0.157
"    20 to 24 years","south carolina",2015,345340,0.73,0.596,0.156
"    20 to 24 years","south carolina",2016,327290,0.772,0.65,0.129
"    20 to 24 years","south carolina",2017,329443,0.76,0.654,0.104
"        20 to 24 years","south carolina",2018,332798,0.748,0.651,0.099
"        20 to 24 years","south carolina",2019,321418,0.756,0.655,0.09
