"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","south dakota",2010,55557,0.824,0.717,0.111
"    20 to 24 years","south dakota",2011,58756,0.789,0.71,0.08
"    20 to 24 years","south dakota",2012,58181,0.763,0.669,0.098
"    20 to 24 years","south dakota",2013,61270,0.799,0.723,0.077
"    20 to 24 years","south dakota",2014,61445,0.827,0.748,0.072
"    20 to 24 years","south dakota",2015,59605,0.83,0.762,0.073
"    20 to 24 years","south dakota",2016,59452,0.809,0.751,0.061
"    20 to 24 years","south dakota",2017,58561,0.813,0.745,0.064
"        20 to 24 years","south dakota",2018,58791,0.8,0.736,0.059
"        20 to 24 years","south dakota",2019,57688,0.804,0.727,0.073
