"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","tennessee",2010,434113,0.732,0.586,0.19
"    20 to 24 years","tennessee",2011,442002,0.733,0.596,0.179
"    20 to 24 years","tennessee",2012,452140,0.735,0.604,0.169
"    20 to 24 years","tennessee",2013,459201,0.744,0.623,0.156
"    20 to 24 years","tennessee",2014,454515,0.736,0.625,0.144
"    20 to 24 years","tennessee",2015,457494,0.75,0.668,0.097
"    20 to 24 years","tennessee",2016,448285,0.752,0.669,0.099
"    20 to 24 years","tennessee",2017,436627,0.766,0.688,0.09
"        20 to 24 years","tennessee",2018,437346,0.765,0.678,0.104
"        20 to 24 years","tennessee",2019,443667,0.776,0.712,0.072
