"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","texas",2010,1829338,0.72,0.603,0.141
"    20 to 24 years","texas",2011,1873910,0.731,0.616,0.142
"    20 to 24 years","texas",2012,1923358,0.721,0.61,0.136
"    20 to 24 years","texas",2013,1957083,0.726,0.621,0.126
"    20 to 24 years","texas",2014,1980070,0.731,0.642,0.106
"    20 to 24 years","texas",2015,2005047,0.725,0.641,0.098
"    20 to 24 years","texas",2016,1991929,0.734,0.65,0.098
"    20 to 24 years","texas",2017,1985368,0.729,0.652,0.089
"        20 to 24 years","texas",2018,1988685,0.729,0.654,0.085
"        20 to 24 years","texas",2019,1984048,0.749,0.675,0.079
