"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","utah",2010,225940,0.803,0.697,0.127
"    20 to 24 years","utah",2011,234719,0.795,0.714,0.093
"    20 to 24 years","utah",2012,237185,0.817,0.735,0.097
"    20 to 24 years","utah",2013,244910,0.803,0.735,0.081
"    20 to 24 years","utah",2014,246674,0.785,0.722,0.076
"    20 to 24 years","utah",2015,251222,0.812,0.766,0.054
"    20 to 24 years","utah",2016,253784,0.824,0.769,0.061
"    20 to 24 years","utah",2017,256541,0.826,0.777,0.055
"        20 to 24 years","utah",2018,260774,0.832,0.787,0.048
"        20 to 24 years","utah",2019,267379,0.838,0.788,0.05
