"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","vermont",2010,44949,0.765,0.66,0.137
"    20 to 24 years","vermont",2011,44887,0.758,0.636,0.159
"    20 to 24 years","vermont",2012,44912,0.748,0.636,0.149
"    20 to 24 years","vermont",2013,45996,0.748,0.669,0.106
"    20 to 24 years","vermont",2014,46321,0.769,0.684,0.111
"    20 to 24 years","vermont",2015,46031,0.76,0.698,0.081
"    20 to 24 years","vermont",2016,45741,0.778,0.715,0.078
"    20 to 24 years","vermont",2017,47467,0.755,0.698,0.072
"        20 to 24 years","vermont",2018,43479,0.796,0.74,0.062
"        20 to 24 years","vermont",2019,43123,0.804,0.732,0.086
