"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","west virginia",2010,118024,0.664,0.561,0.152
"    20 to 24 years","west virginia",2011,121962,0.652,0.55,0.155
"    20 to 24 years","west virginia",2012,127440,0.678,0.592,0.126
"    20 to 24 years","west virginia",2013,126647,0.674,0.574,0.147
"    20 to 24 years","west virginia",2014,122531,0.669,0.584,0.126
"    20 to 24 years","west virginia",2015,116707,0.668,0.577,0.136
"    20 to 24 years","west virginia",2016,115161,0.696,0.598,0.14
"    20 to 24 years","west virginia",2017,111535,0.714,0.614,0.14
"        20 to 24 years","west virginia",2018,113760,0.706,0.63,0.105
"        20 to 24 years","west virginia",2019,106336,0.716,0.636,0.111
