"label_grouping","state","year","Total","Labor Force Participation Rate","Employment/Population Ratio","Unemployment rate"
"    20 to 24 years","wisconsin",2010,386961,0.806,0.705,0.122
"    20 to 24 years","wisconsin",2011,387481,0.79,0.686,0.132
"    20 to 24 years","wisconsin",2012,388991,0.796,0.702,0.118
"    20 to 24 years","wisconsin",2013,396937,0.801,0.71,0.114
"    20 to 24 years","wisconsin",2014,402498,0.819,0.746,0.089
"    20 to 24 years","wisconsin",2015,406700,0.825,0.768,0.069
"    20 to 24 years","wisconsin",2016,404786,0.821,0.762,0.07
"    20 to 24 years","wisconsin",2017,401915,0.803,0.753,0.061
"        20 to 24 years","wisconsin",2018,394807,0.808,0.765,0.052
"        20 to 24 years","wisconsin",2019,386575,0.805,0.763,0.051
