"Year","Illinois","Indiana","Iowa","Kansas","Michigan","Minnesota","Missouri","Nebraska","North_Dakota","Ohio","South_Dakota","Wisconsin","New_Hampshire","Connecticut","Delaware","Maine","Maryland","Massachusetts","New_Jersey","New_York","Pennsylvania","Rhode_Island","Vermont","Virginia","Alaska","Hawaii","Arkansas","Florida","Georgia","Kentucky","North_Carolina","Oklahoma","Texas","West_Virginia","Alabama","Louisiana","Mississippi","Tennessee","South_Carolina","Arizona","California","Colorado","Idaho","Montana","Nevada","New_Mexico","Oregon","Utah","Washington","Wyoming"
2010,8,7.25,7.25,7.25,7.4,6.16,7.25,7.25,7.25,7.3,7.25,7.25,7.25,8.25,7.25,7.5,7.25,8,7.25,7.25,7.25,7.4,8.06,7.25,7.75,7.25,6.25,7.25,5.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,8,7.24,7.25,7.25,7.55,7.5,8.4,7.25,8.55,5.15
2011,8.25,7.25,7.25,7.25,7.4,6.16,7.25,7.25,7.25,7.4,7.25,7.25,7.25,8.25,7.25,7.5,7.25,8,7.25,7.25,7.25,7.4,8.15,7.25,7.75,7.25,6.25,7.25,5.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.35,8,7.36,7.25,7.35,8.25,7.5,8.5,7.25,8.67,5.15
2012,8.25,7.25,7.25,7.25,7.4,6.16,7.25,7.25,7.25,7.7,7.25,7.25,7.25,8.25,7.25,7.5,7.25,8,7.25,7.25,7.25,7.4,8.46,7.25,7.75,7.25,6.25,7.67,5.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.65,8,7.64,7.25,7.65,8.25,7.5,8.8,7.25,9.04,5.15
2013,8.25,7.25,7.25,7.25,7.4,6.15,7.35,7.25,7.25,7.85,7.25,7.25,7.25,8.25,7.25,7.5,7.25,8,7.25,7.25,7.25,7.75,8.6,7.25,7.75,7.25,6.25,7.79,5.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.8,8,7.78,7.25,7.8,8.25,7.5,8.95,7.25,9.19,5.15
2014,8.25,7.25,7.25,7.25,8.15,8,7.5,7.25,7.25,7.95,7.25,7.25,7.25,8.7,7.75,7.5,7.25,8,8.25,8,7.25,8,8.73,7.25,7.75,7.25,6.25,7.93,5.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.9,9,8,7.25,7.9,8.25,7.5,9.1,7.25,9.32,5.15
2015,8.25,7.25,7.25,7.25,8.15,9,7.65,8,7.25,8.1,8.5,7.25,7.25,9.15,8.25,7.5,8.25,9,8.38,8.75,7.25,9,9.15,7.25,8.75,7.75,7.5,8.05,5.15,7.25,7.25,7.25,7.25,8,7.25,7.25,7.25,7.25,7.25,8.05,9,8.23,7.25,8.05,8.25,7.5,9.25,7.25,9.47,5.15
2016,8.25,7.25,7.25,7.25,8.5,9.5,7.65,9,7.25,8.1,8.55,7.25,7.25,9.6,8.25,7.5,8.75,10,8.38,9,7.25,9.6,9.6,7.25,9.75,8.5,8,8.05,5.15,7.25,7.25,7.25,7.25,8.75,7.25,7.25,7.25,7.25,7.25,8.05,10,8.31,7.25,8.05,8.25,7.5,9.75,7.25,9.47,5.15
2017,8.25,7.25,7.25,7.25,8.9,9.5,7.7,9,7.25,8.15,8.65,7.25,7.25,10.1,8.25,9,9.25,11,8.44,9.7,7.25,9.6,10,7.25,9.8,9.25,8.5,8.1,5.15,7.25,7.25,7.25,7.25,8.75,7.25,7.25,7.25,7.25,7.25,10,10.5,9.3,7.25,8.15,8.25,7.5,10.25,7.25,11,5.15
2018,8.25,7.25,7.25,7.25,9.25,9.65,7.85,9,7.25,8.3,8.85,7.25,7.25,10.1,8.25,10,10.1,11,8.6,10.4,7.25,10.1,10.5,7.25,9.84,10.1,8.5,8.25,5.15,7.25,7.25,7.25,7.25,8.75,7.25,7.25,7.25,7.25,7.25,10.5,11,10.2,7.25,8.3,8.25,7.5,10.75,7.25,11.5,5.15
2019,8.25,7.25,7.25,7.25,9.45,9.86,8.6,9,7.25,8.55,9.1,7.25,7.25,11,9.25,11,10.1,12,10,11.1,7.25,10.5,10.78,7.25,9.89,10.1,9.25,8.46,7.25,7.25,7.25,7.25,7.25,8.75,7.25,7.25,7.25,7.25,7.25,11,12,11.1,7.25,8.5,8.25,7.5,11.25,7.25,12,7.25
